date,stockChange,dollarChange,us10Change,gdpChange
1992-05-29,-0.3335374654109796,-1.152281970176227,-0.0046,0.014817108999999997
1992-06-01,0.4694792275987056,-0.2742857142857084,0.006999999999999999,0.014817108999999997
1992-06-02,-0.9106130144436968,0.3552601421040432,-0.005,0.014817108999999997
1992-06-03,0.263602418379682,-0.2055498458376072,0.0008,0.014817108999999997
1992-06-04,-0.3207954877907769,-0.16020139604073758,-0.0012,0.014817108999999997
1992-06-05,0.053235492105797484,-0.6418338108882548,-0.0037,0.014817108999999997
1992-06-09,-0.7983324752636585,0.20770828525271964,0.003,0.014817108999999997
1992-06-10,-0.6852650865008313,0.05757715338553334,0.0031,0.014817108999999997
1992-06-11,0.4419860036832375,-0.9782483599953898,-0.0079,0.014817108999999997
1992-06-12,0.17357829625459806,-0.06973500697350334,-0.0019,0.014817108999999997
1992-06-15,0.1293437590456851,-0.3256571295650164,-0.0036,0.014817108999999997
1992-06-16,-0.480148664794814,-0.3383897316219443,-0.0034,0.014817108999999997
1992-06-17,-1.4841293338829595,0.6205362369745945,-0.0025,0.014817108999999997
1992-06-18,-0.3231787818033466,1.0705143123109166,-0.0039,0.014817108999999997
1992-06-19,0.6758833950592295,0.2878194796223809,0.0072,0.014817108999999997
1992-06-22,-0.06689102269283269,-0.2755137182872172,-0.0012,0.014817108999999997
1992-06-23,0.15865518332159553,-0.13813744675953096,0.0012,0.014817108999999997
1992-06-24,-0.04950326590058378,-0.8069164265129716,-0.0051,0.014817108999999997
1992-06-25,-0.17828868045055346,-0.7553747821034184,-0.0083,0.014817108999999997
1992-06-26,0.0818656985744401,-0.2459016393442716,0.0006,0.014817108999999997
1992-06-29,1.3607608964453266,-0.7982157530226466,-0.0049,0.014817108999999997
1992-06-30,-0.19562454054078754,0.3194888178913691,0.0024,0.014817108999999997
1992-07-01,1.1613637050510663,-0.05897617362585179,-0.0052,0.017385143999999998
1992-07-02,-0.2688471193948889,-0.7317361029151476,-0.0233,0.017385143999999998
1992-07-06,0.5027095357354894,0.11889192723813374,-0.0049,0.017385143999999998
1992-07-07,-1.13086991234167,-1.270632941455876,-0.0064,0.017385143999999998
1992-07-08,0.2737303228690009,0.0,0.0057,0.017385143999999998
1992-07-09,0.9627600686427704,1.5034880923743084,-0.0044,0.017385143999999998
1992-07-10,0.09414672757740547,-0.9005806375162995,0.005,0.017385143999999998
1992-07-13,0.06029617553779576,-0.9446370919526392,0.0025,0.017385143999999998
1992-07-14,0.6773201325393531,0.4225012071462993,0.0071,0.017385143999999998
1992-07-15,-0.13885917681482454,-0.14424810674360447,-0.0118,0.017385143999999998
1992-07-16,0.10549100783278102,-0.4454074876609972,-0.0025,0.017385143999999998
1992-07-17,-0.4598395264200851,-0.8706166868198293,0.0034,0.017385143999999998
1992-07-20,-0.449929027115266,1.829714564527933,0.0016,0.017385143999999998
