ID,Date,Close_US,Open_US,High_US,Low_US,Volumn_US,Change_US,Open_SP,High_SP,Low_SP,Close_SP,Adj_Close_SP,Volumn_SP,Change_SP
60,1986/2/19,117.3,117.5,118.2,115.93,1.44K,-0.0069,222.44999700000002,222.960007,219.729996,219.75999500000003,219.75999500000003,"152,000,000",-0.012092614233660755
61,1986/2/20,117.2,117.1,117.91,116.85,1.53K,-0.0009,219.75999500000003,222.22000099999997,219.22000099999997,222.22000099999997,222.22000099999997,"139,700,000",0.011194057407946044
62,1986/2/21,117.15,118.25,118.3,117.1,0.71K,-0.0004,222.22000099999997,224.61999500000002,222.22000099999997,224.61999500000002,224.61999500000002,"177,600,000",0.010800080952209381
63,1986/2/24,116.2,116.65,117.3,116.05,1.03K,-0.0081,224.580002,225.289993,223.309998,224.33999599999999,224.33999599999999,"144,700,000",-0.0012465453042149344
64,1986/2/25,115.65,115.63,116.0,114.9,0.82K,-0.0047,224.33999599999999,224.399994,222.63000499999998,223.789993,223.789993,"148,000,000",-0.0024516493260522986
65,1986/2/26,114.89,115.38,115.8,114.4,0.65K,-0.0066,223.72000099999997,224.58999599999999,223.149994,224.039993,224.039993,"158,000,000",0.001117118762321066
66,1986/2/27,114.35,113.7,115.4,113.48,0.74K,-0.0047,224.039993,226.88000499999998,223.41000400000001,226.770004,226.770004,"181,700,000",0.012185373528377098
67,1986/2/28,115.15,114.66,115.4,114.15,0.46K,0.006999999999999999,226.770004,227.919998,225.419998,226.919998,226.919998,"191,700,000",0.000661436686308796
68,1986/3/3,114.22,115.06,115.15,114.2,0.57K,-0.0081,226.919998,226.919998,224.41000400000001,225.419998,225.419998,"142,700,000",-0.00661025918041829
69,1986/3/4,113.74,114.3,114.35,113.65,0.44K,-0.0042,225.419998,227.330002,223.940002,224.38000499999998,224.38000499999998,"174,500,000",-0.004613579137730317
70,1986/3/5,116.1,114.68,116.75,114.68,0.75K,0.0207,224.13999900000002,224.36999500000002,222.17999300000002,224.33999599999999,224.33999599999999,"154,600,000",-0.0001783091144863721
71,1986/3/6,115.27,115.55,115.9,115.09,0.66K,-0.0071,224.38999900000002,225.5,224.13000499999998,225.13000499999998,225.13000499999998,"159,000,000",0.00352148085087778
72,1986/3/7,115.07,115.4,115.5,114.5,0.55K,-0.0017,225.13000499999998,226.330002,224.440002,225.57000699999998,225.57000699999998,"163,200,000",0.0019544351718021446
